channel,frequency_hz,mode,success,nfev,amplitude_m,old_amplitude_m,amplitude_change_percent,phase_change_rad,dc_m,old_dc_m,drift_m_s,drift_over_interval_m,residual_norm_m,old_residual_norm_m,residual_ratio,fitted_frequency_hz,jacobian_relative_error
deflection,2811.706625951747,normalized_no_drift,True,10,6.219509797544383e-09,6.219509797541567e-09,4.5274894944213884e-11,2.0159873770353443e-10,-1.8175993933236328e-09,-1.8175993933191157e-09,0,0.0,1.3424322483744487e-08,1.3424322483744475e-08,1.0000000000000009,2814.5183325776975,5.018449500328128e-10
deflection,5000.000000000004,parameter_only,True,1,7.335329398948388e-09,7.14165974518377e-09,2.711829752113659,-0.24437026485461422,-4.665157588601652e-09,-3.6657601263081435e-09,0.0,0.0,3.836054279576859e-08,1.885250401701441e-08,2.034771760883761,5000.000000000004,4.487913327584846e-10
deflection,5000.000000000004,normalized_drift,True,9,7.142745685434216e-09,7.14165974518377e-09,0.015205712526111803,0.008169716324587739,-3.960927648579279e-09,-3.6657601263081435e-09,2.6850017340173523e-07,2.3628015259352853e-10,1.8798753036367243e-08,1.885250401701441e-08,0.9971488678321639,4997.479080697637,4.0741316788193797e-10
deflection,5000.000000000004,normalized_no_drift,True,9,7.1416597455691056e-09,7.14165974518377e-09,5.395595081836291e-09,-6.149595499493898e-09,-3.6657601260806912e-09,-3.6657601263081435e-09,0,0.0,1.885250401701439e-08,1.885250401701441e-08,0.999999999999999,4998.582722457797,4.258630569269161e-10
indentation,499.99999999999983,parameter_only,True,2,2.784222191077745e-09,5.9945338236170185e-09,-53.55398312861994,1.2609514267002235,-9.997531042083685e-06,-9.998766808606857e-06,-1.2359738472676722e-07,-9.863071301196026e-10,8.146005369607202e-08,1.5234970210922322e-08,5.346912568143475,499.8822727767121,8.363846856979398e-11
indentation,499.99999999999983,normalized_drift,True,12,6.007849087653514e-09,5.9945338236170185e-09,0.2221234282478557,0.002336050439903495,-9.998980154516998e-06,-9.998766808606857e-06,2.1351784921411247e-08,1.7038724367286178e-10,1.5204287781369696e-08,1.5234970210922322e-08,0.9979860525404488,500.3215409202412,9.418096484958811e-11
indentation,499.99999999999983,normalized_no_drift,True,13,5.9945337958179745e-09,5.9945338236170185e-09,-4.6373987983017173e-07,3.229679904209748e-07,-9.998766808612839e-06,-9.998766808606857e-06,0,0.0,1.5234970210920522e-08,1.5234970210922322e-08,0.9999999999998819,500.35526047271253,9.418096484958811e-11
indentation,889.1397050194613,parameter_only,True,2,2.630438205876512e-09,5.951061689762095e-09,-55.79884156802164,1.439627388190377,-9.99750412522905e-06,-9.998780758596453e-06,-2.2973847818225754e-07,-1.0333636748637941e-09,8.671243945869071e-08,1.4480674418253732e-08,5.988149236294177,888.9387550234658,8.435420199776057e-11
indentation,889.1397050194613,normalized_drift,True,20,5.953397611285471e-09,5.951061689762095e-09,0.03925218129388064,0.0001108130978142996,-9.99881889586438e-06,-9.998780758596453e-06,6.795775821680154e-09,3.056739964591732e-11,1.4479631166760743e-08,1.4480674418253732e-08,0.9999279556004882,890.0288447244777,8.961880708018995e-11
indentation,889.1397050194613,normalized_no_drift,True,15,5.951061690336069e-09,5.951061689762095e-09,9.6449070952076e-09,5.2201631378645523e-08,-9.998780758597487e-06,-9.998780758596453e-06,0,0.0,1.4480674418252499e-08,1.4480674418253732e-08,0.9999999999999148,890.0288447244787,1.495892195174365e-10
indentation,1581.13883008419,parameter_only,True,2,2.4752706374813862e-09,5.9278720527591775e-09,-58.24352119190477,1.7313609679182769,-9.99748153504706e-06,-9.998703777255536e-06,-3.873635436789515e-07,-9.773182207019937e-10,9.508226758101244e-08,1.3039238073434153e-08,7.292011009042843,1580.8121416197728,8.40219888776766e-11
indentation,1581.13883008419,normalized_drift,True,18,5.938519412948124e-09,5.9278720527591775e-09,0.17961521595242225,0.0008855614398352585,-9.998890287969682e-06,-9.998703777255536e-06,5.903439078974425e-08,1.489437679625246e-10,1.301178000412022e-08,1.3039238073434153e-08,0.9978941967959097,1582.7199689142733,8.265882278752178e-11
indentation,1581.13883008419,normalized_no_drift,True,13,5.927872052499163e-09,5.9278720527591775e-09,-4.386302432379807e-09,-5.853065199179497e-08,-9.998703777255247e-06,-9.998703777255536e-06,0,0.0,1.303923807343296e-08,1.3039238073434153e-08,0.9999999999999085,1582.7199689142737,8.336401574364359e-11
indentation,2811.706625951747,parameter_only,True,2,2.3258659760719453e-09,6.21398638650316e-09,-62.570468755391076,2.1857214760848622,-9.99701815793205e-06,-9.998153930559024e-06,-6.399950463454554e-07,-9.081529707642035e-10,1.098632602686242e-07,1.343871815519336e-08,8.17512942826082,2811.2376736956357,8.498785729911048e-11
indentation,2811.706625951747,normalized_drift,True,18,6.224982595285441e-09,6.21398638650316e-09,0.176959009858213,0.002457598235852454,-9.998394495304789e-06,-9.998153930559024e-06,1.353221746472394e-07,1.9202216582443319e-10,1.3394455054698638e-08,1.343871815519336e-08,0.9967063004087472,2814.45028327275,1.1438032166741527e-10
indentation,2811.706625951747,normalized_no_drift,True,19,6.21398638612819e-09,6.21398638650316e-09,-6.034295285672897e-09,-7.573982363506816e-08,-9.99815393055881e-06,-9.998153930559024e-06,0,0.0,1.3438718155186594e-08,1.343871815519336e-08,0.9999999999994965,2814.5183325776975,8.384579473106475e-11
indentation,5000.000000000004,parameter_only,True,1,7.491529414799245e-09,7.102677843200274e-09,5.474717848441291,2.827433388230814,-9.995283527424832e-06,-9.996332880428668e-06,0.0,0.0,2.1682236265008492e-07,1.9443118306136215e-08,11.15162492127902,5000.000000000004,8.746795819680374e-11
indentation,5000.000000000004,normalized_drift,True,11,7.1047088437641265e-09,7.102677843200274e-09,0.02859485687918273,1.1102230246251565e-16,-9.995987752377786e-06,-9.996332880428668e-06,-3.1443804056607565e-07,-2.7670547569814837e-10,1.9370316861557437e-08,1.9443118306136215e-08,0.996255670338857,4995.000000000005,8.298510406853827e-11
indentation,5000.000000000004,normalized_no_drift,True,11,7.102677843197066e-09,7.102677843200274e-09,-4.516387264175137e-11,1.1102230246251565e-16,-9.99633288042864e-06,-9.996332880428668e-06,0,0.0,1.9443118306135907e-08,1.9443118306136215e-08,0.9999999999999841,4995.000000000005,9.938081085636777e-11
position_z,499.99999999999983,parameter_only,True,1,3.2477395642788274e-10,1.3503359876180411e-11,2305.134421402601,2.490257293277637,1.000004194859529e-05,1.0000004198335457e-05,0.0,0.0,5.2874406219596024e-09,2.2111683343906864e-09,2.391242918833052,499.99999999999983,7.844677273511503e-11
position_z,499.99999999999983,normalized_drift,True,17,9.814202231560325e-12,1.3503359876180411e-11,-27.320294196762596,-0.3371760949531767,1.0000089472763937e-05,1.0000004198335457e-05,-8.53598386242977e-09,-6.811715122218958e-11,2.1770413971421578e-09,2.2111683343906864e-09,0.9845661061992674,500.49999999999966,1.1301234209130469e-10
position_z,499.99999999999983,normalized_no_drift,True,13,1.3503356021367703e-11,1.3503359876180411e-11,-2.8547063424255725e-05,-0.0009766207138839356,1.0000004198346519e-05,1.0000004198335457e-05,0,0.0,2.211168323705337e-09,2.2111683343906864e-09,0.9999999951675549,500.49999999999955,8.240067047969238e-11
position_z,889.1397050194613,parameter_only,True,1,3.532389168869269e-10,3.112971119602469e-11,1034.7323933157338,2.6990693985408294,1.0000055011969505e-05,1.0000002643777977e-05,0.0,0.0,5.89127197274227e-09,2.0900079080955162e-09,2.8187797519439006,889.1397050194613,8.039568967184229e-11
position_z,889.1397050194613,normalized_drift,True,20,3.0133879405346676e-11,3.112971119602469e-11,-3.1989753596081583,-0.043049407537074424,1.0000028687366231e-05,1.0000002643777977e-05,-4.6407755729789215e-09,-2.0874208527259182e-11,2.0866345054894535e-09,2.0900079080955162e-09,0.9983859378746864,890.0288447244384,8.320066402651521e-11
position_z,889.1397050194613,normalized_no_drift,True,15,3.112973711953356e-11,3.112971119602469e-11,8.32757769853032e-05,0.00021452370629959638,1.00000026437619e-05,1.0000002643777977e-05,0,0.0,2.090007905957867e-09,2.0900079080955162e-09,0.9999999989772052,890.0288447244043,8.258248450619262e-11
position_z,1581.13883008419,parameter_only,True,1,3.007267916116965e-10,6.581299344860727e-11,356.94136651986685,2.2748349438609594,9.999998066214192e-06,1.000001228047799e-05,0.0,0.0,5.299534487584807e-09,1.9380520069336336e-09,2.734464538941696,1581.13883008419,8.23121362204374e-11
position_z,1581.13883008419,normalized_drift,True,12,6.167214192901957e-11,6.581299344860727e-11,-6.291844972560401,-0.03775079008397853,1.0000087358625058e-05,1.000001228047799e-05,-2.3763742367564366e-08,-5.995592199336484e-11,1.9079216136639143e-09,1.9380520069336336e-09,0.9844532586525419,1579.557691254106,9.849295057890482e-11
position_z,1581.13883008419,normalized_no_drift,True,11,6.581299302018142e-11,6.581299344860727e-11,-6.509745742455664e-07,1.6644796838771736e-05,1.0000012280478993e-05,1.000001228047799e-05,0,0.0,1.9380520068722932e-09,1.9380520069336336e-09,0.9999999999683494,1579.557691254106,9.849295057890482e-11
position_z,2811.706625951747,parameter_only,True,1,3.10544115263339e-10,1.7721635047319605e-11,1652.3446027081388,-2.422016033544821,1.0000041874701456e-05,9.999971529951696e-06,0.0,0.0,5.343460363615016e-09,2.3639856990638633e-09,2.260360697499576,2811.706625951747,8.336683457100037e-11
position_z,2811.706625951747,normalized_drift,True,15,1.947698200953741e-11,1.7721635047319605e-11,9.905107274417668,-0.1589477044836072,1.0000025422752408e-05,9.999971529951696e-06,-3.032890228175507e-08,-4.3036712337810555e-11,2.3513253746329508e-09,2.3639856990638633e-09,0.9946445004147335,2814.5183325776948,8.295471606268434e-11
position_z,2811.706625951747,normalized_no_drift,True,13,1.772163469950885e-11,1.7721635047319605e-11,-1.962633555674387e-06,5.799065514875344e-05,9.999971529952135e-06,9.999971529951696e-06,0,0.0,2.3639856990190764e-09,2.3639856990638633e-09,0.9999999999810545,2814.5183325776975,8.14277370737793e-11
position_z,5000.000000000004,parameter_only,True,1,3.3572080011304e-10,5.073798319452874e-11,561.6754923543,-2.610798544362783,9.99999656722499e-06,1.0000008481938245e-05,0.0,0.0,6.147397129508312e-09,2.2583498371333397e-09,2.7220747770910356,5000.000000000004,8.061364023392913e-11
position_z,5000.000000000004,normalized_drift,True,14,5.0783236568301417e-11,5.073798319452874e-11,0.08919032827767737,-0.0022753748582460495,9.999999080839882e-06,1.0000008481938245e-05,8.562014109702589e-09,7.534572416538328e-12,2.257886523468461e-09,2.2583498371333397e-09,0.9997948441568881,4995.000000000005,8.372765727137206e-11
position_z,5000.000000000004,normalized_no_drift,True,12,5.073798027752737e-11,5.073798319452874e-11,-5.7491472582604786e-06,5.544837596826321e-06,1.0000008481931375e-05,1.0000008481938245e-05,0,0.0,2.2583498371304834e-09,2.2583498371333397e-09,0.9999999999987352,4995.000000000005,1.2440552747963098e-10
