point_index,frequency_index,frequency_hz,x_index,y_index,static_status,deflection_amplitude_m,deflection_fitted_frequency_hz,deflection_phase_rad,deflection_dc_m,deflection_residual_norm_m,indentation_amplitude_m,indentation_fitted_frequency_hz,indentation_phase_rad,indentation_dc_m,indentation_residual_norm_m,position_z_amplitude_m,position_z_fitted_frequency_hz,position_z_phase_rad,position_z_dc_m,position_z_residual_norm_m,vea_status,deflection_status,indentation_status,position_z_status,failure_reason
0,0,499.99999999999983,0,0,success,1.6853346410742506e-09,499.99999999999983,3.989564215748529,2.712287146764482e-08,4.690357931595223e-09,1.71440366927984e-09,499.99999999999983,0.8528351516061741,7.568756097177168e-08,5.418434980281294e-09,3.0221751403089406e-11,499.99999999999983,4.26908812186037,4.1128315468539007e-07,2.1430189771040795e-09,success,success,success,success,
0,1,889.1397050194613,0,0,success,1.5974452191559454e-09,889.1397050194613,3.852701697734092,2.6314376120736017e-08,4.6323366373869154e-09,1.5590781743668691e-09,889.1397050194613,0.708312921786908,7.64450500896085e-08,5.731957640174877e-09,3.8619967867402016e-11,889.1397050194613,7.1074140384621725,4.1133416091446224e-07,2.194966377156584e-09,success,success,success,success,
0,2,1581.13883008419,0,0,success,1.550441384402072e-09,1581.13883008419,3.646488029029002,2.5867292147873347e-08,4.609467563383863e-09,1.5347724902776252e-09,1581.13883008419,0.5074172832885734,7.685616245840616e-08,5.190206596671926e-09,1.6144608275949093e-11,1581.13883008419,6.545979951812198,4.11370132518527e-07,1.8435681397324673e-09,success,success,success,success,
0,3,2811.706625951747,0,0,success,1.5619762767072206e-09,2811.706625951747,3.338402456827802,2.568547681767705e-08,3.897942758609152e-09,1.532710593651078e-09,2811.706625951747,0.22251807596245365,7.701155735690242e-08,4.92229159826e-09,4.9382813981016726e-11,2811.706625951747,5.556310869955771,4.113965529502272e-07,2.100306959373884e-09,success,success,success,success,
0,4,5000.000000000004,0,0,success,1.7796505922831557e-09,5000.000000000004,3.0118036396481718,2.489028581853366e-08,4.551625810330386e-09,1.7901711092550488e-09,5000.000000000004,-0.10805996908373317,7.779664844015156e-08,4.444581828409595e-09,4.01850634987408e-11,5000.000000000004,4.328591980461546,4.1140665286612124e-07,1.3411131737327346e-09,success,success,success,success,
1,0,499.99999999999983,1,0,success,1.7110624114619982e-09,499.99999999999983,3.9957919966777347,4.4538291172949253e-08,4.691201188320682e-09,1.7046920342666214e-09,499.99999999999983,0.8837726641134389,7.03572803784483e-08,5.473293092515008e-09,5.090584164464763e-11,499.99999999999983,5.70683053373182,3.8964006871724047e-07,2.3014080195834902e-09,success,success,success,success,
1,1,889.1397050194613,1,0,success,1.6616881817504222e-09,889.1397050194613,3.867330887463413,4.430959758981066e-08,4.412937777383276e-09,1.6634638589352663e-09,889.1397050194613,0.722203880264751,7.05652566582476e-08,5.091637710164583e-09,6.138558931850276e-12,889.1397050194613,2.5882270156273686,3.896607860205793e-07,1.8590015473440973e-09,success,success,success,success,
1,2,1581.13883008419,1,0,success,1.582284179334542e-09,1581.13883008419,3.674352282243998,4.419485668287044e-08,3.798136797784033e-09,1.5555040813703027e-09,1581.13883008419,0.5139606724545557,7.066854752231272e-08,4.271795702644328e-09,3.9836609551419175e-11,1581.13883008419,1.3569548999752388,3.8967223606345503e-07,1.8620827322524461e-09,success,success,success,success,
1,3,2811.706625951747,1,0,success,1.587797006425991e-09,2811.706625951747,3.373134566898667,4.3989250683646186e-08,4.063368894648912e-09,1.5964345385323748e-09,2811.706625951747,0.23299824083460263,7.088218007561364e-08,4.223701884601734e-09,8.943322716618104e-12,2811.706625951747,3.636118190081912,3.8966420950937817e-07,2.641053954596028e-09,success,success,success,success,
1,4,5000.000000000004,1,0,success,1.8211916632717282e-09,5000.000000000004,3.002830490001256,4.356566610319132e-08,4.645189586033965e-09,1.8142668595072519e-09,5000.000000000004,-0.1463979514577769,7.129289174559885e-08,4.910342502218341e-09,1.5511285653475943e-11,5000.000000000004,0.9654409496355754,3.8967708241984774e-07,1.8840444859358218e-09,success,success,success,success,
2,0,499.99999999999983,2,0,success,1.6463220715517007e-09,499.99999999999983,3.958926168095893,4.31167023184525e-08,4.477231719025429e-09,1.6248598603734387e-09,499.99999999999983,0.834524751463716,8.209742360966762e-08,4.756023218391855e-09,3.537210021580066e-11,499.99999999999983,6.190262227568899,3.8230791845217695e-07,1.9608304089034895e-09,success,success,success,success,
2,1,889.1397050194613,2,0,success,1.6297521721420945e-09,889.1397050194613,3.8177978827549692,4.284880056231664e-08,3.805894319099323e-09,1.6092184115913992e-09,889.1397050194613,0.6865227713139279,8.234338653568986e-08,4.510099271366864e-09,2.6472927810545287e-11,889.1397050194613,6.281482957461252,3.823298572822905e-07,2.2966483997553533e-09,success,success,success,success,
2,2,1581.13883008419,2,0,success,1.5321441679296013e-09,1581.13883008419,3.677250289165627,4.2713078110028275e-08,4.1981253310050215e-09,1.494803180830705e-09,1581.13883008419,0.5392535065987085,8.245068360626832e-08,4.545295136205517e-09,3.773543334934929e-11,1581.13883008419,6.675914879435977,3.8235828266400094e-07,1.94740166736867e-09,success,success,success,success,
2,3,2811.706625951747,2,0,success,1.5800959578791165e-09,2811.706625951747,3.3525492696265218,4.265350791730988e-08,3.4843182492221016e-09,1.5630709224241926e-09,2811.706625951747,0.20287363823129723,8.255495580368775e-08,4.181240154166208e-09,2.1241805716266886e-11,2811.706625951747,7.131129704561398,3.823135806592988e-07,2.3732604404030392e-09,success,success,success,success,
2,4,5000.000000000004,2,0,success,1.755760602282827e-09,5000.000000000004,3.0502005778618515,4.187993623814382e-08,4.800586707428757e-09,1.7308475233150076e-09,5000.000000000004,-0.08475588185550897,8.335091108620094e-08,5.393060961471741e-09,2.746804894566583e-11,5000.000000000004,5.760369804755887,3.8229119705595274e-07,1.88662736146104e-09,success,success,success,success,
3,0,499.99999999999983,3,0,success,1.6487338183567427e-09,499.99999999999983,3.994619563826952,4.2883951041598645e-08,4.741952911683021e-09,1.6220586966997277e-09,499.99999999999983,0.8592036757807471,7.624338083394578e-08,5.4748677572158905e-09,2.8523577670340576e-11,499.99999999999983,0.4941171066284371,3.8160926473803306e-07,2.3583610030713307e-09,success,success,success,success,
3,1,889.1397050194613,3,0,success,1.5979569161772438e-09,889.1397050194613,3.7987416589248784,4.2722882310422216e-08,4.094102196167322e-09,1.5764895478399755e-09,889.1397050194613,0.687234455477981,7.639430575836906e-08,4.596746672031439e-09,5.2353187289569285e-11,889.1397050194613,-0.4761477543818877,3.81619408544787e-07,2.186423874099507e-09,success,success,success,success,
3,2,1581.13883008419,3,0,success,1.551055972238588e-09,1581.13883008419,3.6713227234444084,4.269531350996463e-08,3.331982187675722e-09,1.5489699076156377e-09,1581.13883008419,0.5059909210401617,7.64028349431509e-08,3.939407529770316e-09,3.685420180847344e-11,1581.13883008419,2.032027377668545,3.81638448160462e-07,1.7500338401037718e-09,success,success,success,success,
3,3,2811.706625951747,3,0,success,1.5805660354482457e-09,2811.706625951747,3.361646265461867,4.2420872288839504e-08,4.053737955793789e-09,1.5443307674056521e-09,2811.706625951747,0.2240757630129503,7.666418039963553e-08,4.06146205286315e-09,3.677612017922352e-11,2811.706625951747,0.05033930249585283,3.81651543925103e-07,1.6657886572513162e-09,success,success,success,success,
3,4,5000.000000000004,3,0,success,1.7550257473470289e-09,5000.000000000004,3.068292357783078,4.183416754105574e-08,4.826073657068736e-09,1.7690290339817158e-09,5000.000000000004,-0.056702920571191306,7.726303400601682e-08,5.627463639722807e-09,3.242422960682149e-11,5000.000000000004,-2.082354537143261,3.81639395066505e-07,2.196598868690493e-09,success,success,success,success,
4,0,499.99999999999983,4,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
4,1,889.1397050194613,4,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
4,2,1581.13883008419,4,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
4,3,2811.706625951747,4,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
4,4,5000.000000000004,4,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
5,0,499.99999999999983,5,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
5,1,889.1397050194613,5,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
5,2,1581.13883008419,5,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
5,3,2811.706625951747,5,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
5,4,5000.000000000004,5,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
6,0,499.99999999999983,6,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
6,1,889.1397050194613,6,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
6,2,1581.13883008419,6,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
6,3,2811.706625951747,6,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
6,4,5000.000000000004,6,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
7,0,499.99999999999983,7,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
7,1,889.1397050194613,7,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
7,2,1581.13883008419,7,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
7,3,2811.706625951747,7,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
7,4,5000.000000000004,7,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
8,0,499.99999999999983,8,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
8,1,889.1397050194613,8,0,unprocessed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,unprocessed,unprocessed,unprocessed,unprocessed,
