point_index,x_index,y_index,model,fit_direction,static_status,failure_reason,young_modulus_pa,contact_point_m,residual_norm_n,snap_in_force_n,adhesion_force_n,baseline_slope,baseline_offset_m
72,72,0,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,73,0,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,74,0,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,75,0,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,76,0,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,77,0,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,78,0,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,79,0,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,80,0,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,81,0,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,82,0,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,83,0,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,84,0,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,85,0,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,86,0,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,87,0,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,88,0,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,89,0,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,90,0,Hertz,Advance,unprocessed,,0.0,0.0,0.0,0.0,0.0,0.0,0.0
