point_index,x_index,y_index,model,fit_direction,static_status,failure_reason,young_modulus_pa,contact_point_m,adhesion_parameter_n_per_m,residual_norm_n,snap_in_force_n,adhesion_force_n,baseline_slope,baseline_offset_m
23,23,0,Hertz,Advance,success,,2277434.2770002116,-4.972450795267538e-07,0.0,1.740372810234903e-09,-1.7113570141143994e-09,-8.02071376234405e-09,-0.005171306346849824,1.228334465903361e-08
24,24,0,Hertz,Advance,success,,2574840.353757646,-4.941009567917113e-07,0.0,1.3896235070986052e-09,-1.7098303471436206e-09,-7.756949651573198e-09,-0.0054973834535658175,1.2606853294039717e-08
25,25,0,Hertz,Advance,success,,2489361.9397016247,-4.917582786495845e-07,0.0,1.4834416520781644e-09,-1.6680289102706655e-09,-7.691300948762682e-09,-0.0052831278469463545,1.2428379142332485e-08
26,26,0,Hertz,Advance,success,,2457901.774867911,-4.921478419876385e-07,0.0,1.656278293671722e-09,-1.7644369311016587e-09,-7.970176136771844e-09,-0.00542500282446031,1.253142957631971e-08
27,27,0,Hertz,Advance,success,,2557397.743834554,-4.896275180347932e-07,0.0,1.483900929521631e-09,-1.834797452881776e-09,-8.118544607983157e-09,-0.005398882539133823,1.2470236383180938e-08
28,28,0,Hertz,Advance,success,,2394732.7837418774,-4.914305807257466e-07,0.0,1.7736250251691901e-09,-1.7999207983696346e-09,-8.095004667194848e-09,-0.0053781352150676495,1.2523657762600286e-08
29,29,0,Hertz,Advance,success,,2341807.582979858,-4.914262800030554e-07,0.0,1.2397977044005693e-09,-1.7336589281264038e-09,-7.925166473120442e-09,-0.005176966056185569,1.2424762857837611e-08
30,30,0,Hertz,Advance,success,,2407979.569707394,-4.911558785538432e-07,0.0,9.459072587157337e-10,-1.8349855975588148e-09,-7.412582362296267e-09,-0.004998564591120581,1.229576885333508e-08
31,31,0,Hertz,Advance,success,,2360140.316460418,-4.924570256487903e-07,0.0,1.6853988020314042e-09,-1.6975724175666327e-09,-7.058302490934398e-09,-0.005198242224832748,1.247803741121994e-08
32,32,0,Hertz,Advance,success,,2463747.2828966575,-4.938090755977503e-07,0.0,1.3375104748090487e-09,-1.6612329298301148e-09,-7.577969718913502e-09,-0.00541107028569668,1.2607452113941567e-08
33,33,0,Hertz,Advance,success,,2125597.8776723417,-4.980172916586708e-07,0.0,2.716902348650088e-09,-1.5581008198601822e-09,-7.834249775649655e-09,-0.005371399963271992,1.259058119158729e-08
34,34,0,Hertz,Advance,success,,2341170.84188739,-4.916716982019761e-07,0.0,1.820495585581715e-09,-1.4775955629568e-09,-8.168531325700604e-09,-0.0055681828862678895,1.2713881589059566e-08
35,35,0,Hertz,Advance,success,,2135500.212943802,-4.952595565757033e-07,0.0,1.0694113739847342e-09,-1.7941116108588108e-09,-7.566983310977119e-09,-0.005471955828837076,1.2638184838445364e-08
36,36,0,Hertz,Advance,success,,2396133.2714354177,-4.926920948168279e-07,0.0,2.0351555630663928e-09,-1.5916271003854861e-09,-7.689321243432734e-09,-0.005419840556383743,1.2625578717321926e-08
37,37,0,Hertz,Advance,success,,2126630.155751096,-4.957933618798175e-07,0.0,1.5360457884106415e-09,-1.6283423893569284e-09,-7.780308167283557e-09,-0.005658557933313902,1.2790043555086045e-08
38,38,0,Hertz,Advance,success,,2107402.596712539,-4.946425166511703e-07,0.0,1.0018061219945225e-09,-1.6354287293476092e-09,-7.351547871361671e-09,-0.005205484190577937,1.248709297549688e-08
39,39,0,Hertz,Advance,success,,2236814.9206547556,-4.907285165167959e-07,0.0,9.677642125369337e-10,-1.6196626168775548e-09,-7.707059324405613e-09,-0.005189475791774021,1.24870427433516e-08
40,40,0,Hertz,Advance,success,,2316796.7251281505,-4.929153080833542e-07,0.0,1.0547605801288285e-09,-1.6778306364622773e-09,-7.567127258120729e-09,-0.005254032884234442,1.2622546373332489e-08
